FIXING_DATE,FIXING
30/09/2016,7624
03/10/2016,7794
04/10/2016,7894
05/10/2016,7934
06/10/2016,7994
07/10/2016,7984
10/10/2016,7984
11/10/2016,7924
12/10/2016,7884
13/10/2016,7854
14/10/2016,7824
17/10/2016,7894
18/10/2016,7864
19/10/2016,7834
20/10/2016,7734
21/10/2016,7744
24/10/2016,7674
25/10/2016,7664
26/10/2016,7704
27/10/2016,7714
28/10/2016,7714
31/10/2016,7694
01/11/2016,7634
02/11/2016,7674
03/11/2016,7714
04/11/2016,7709
07/11/2016,7774
08/11/2016,7799
09/11/2016,7829
10/11/2016,7989
11/11/2016,8249
14/11/2016,7979
15/11/2016,7844
16/11/2016,8034
17/11/2016,7854
18/11/2016,7649
21/11/2016,7564
22/11/2016,7574
23/11/2016,7524
24/11/2016,7434
25/11/2016,7444
28/11/2016,7624
29/11/2016,7584
30/11/2016,7504
01/12/2016,7484
02/12/2016,7529
05/12/2016,7579
06/12/2016,7424
07/12/2016,7451
08/12/2016,7338
09/12/2016,7235
12/12/2016,7441
13/12/2016,7361
14/12/2016,7341
15/12/2016,7411
16/12/2016,7581
19/12/2016,7598
20/12/2016,7618
21/12/2016,7974
22/12/2016,8089
23/12/2016,8191
28/12/2016,8191
29/12/2016,8318
30/12/2016,8366
03/01/2017,8773
04/01/2017,8800
05/01/2017,8710
06/01/2017,8585
09/01/2017,8610
10/01/2017,8440
11/01/2017,8520
12/01/2017,8790
13/01/2017,8870
16/01/2017,8890
17/01/2017,8950
18/01/2017,9225
19/01/2017,9060
20/01/2017,9345
23/01/2017,9395
24/01/2017,9445
25/01/2017,9505
26/01/2017,9710
27/01/2017,9785
30/01/2017,9770
31/01/2017,9835
01/02/2017,9915
02/02/2017,9885
03/02/2017,9855
06/02/2017,9815
07/02/2017,9625
08/02/2017,9665
09/02/2017,9665
10/02/2017,9765
13/02/2017,9755
14/02/2017,9790
15/02/2017,10020
16/02/2017,10295
17/02/2017,10380
20/02/2017,10595
21/02/2017,10690
22/02/2017,11180
23/02/2017,11170
24/02/2017,11050
27/02/2017,10965
28/02/2017,11005
01/03/2017,11395
02/03/2017,11545
03/03/2017,11975
06/03/2017,12275
07/03/2017,12220
08/03/2017,11825
09/03/2017,12115
10/03/2017,12320
13/03/2017,12430
14/03/2017,12670
15/03/2017,12710
16/03/2017,12730
17/03/2017,12560
20/03/2017,12550
21/03/2017,12580
22/03/2017,12430
23/03/2017,12710
24/03/2017,12830
27/03/2017,12990
28/03/2017,12880
29/03/2017,12830
30/03/2017,12780
31/03/2017,12850
03/04/2017,12860
04/04/2017,12870
05/04/2017,13360
06/04/2017,14140
07/04/2017,14070
10/04/2017,14140
11/04/2017,14640
12/04/2017,14560
13/04/2017,14630
18/04/2017,13670
19/04/2017,13800
20/04/2017,13730
21/04/2017,14050
24/04/2017,14320
25/04/2017,14730
26/04/2017,15100
27/04/2017,14910
28/04/2017,14690
02/05/2017,14400
03/05/2017,14430
04/05/2017,14310
05/05/2017,14520
08/05/2017,14570
09/05/2017,14360
10/05/2017,14360
11/05/2017,14380
12/05/2017,14120
15/05/2017,13770
16/05/2017,13820
17/05/2017,14110
18/05/2017,14280
19/05/2017,14320
22/05/2017,14430
23/05/2017,14260
24/05/2017,14170
25/05/2017,14180
26/05/2017,14200
30/05/2017,14050
31/05/2017,13360
01/06/2017,12170
02/06/2017,12350
05/06/2017,12330
06/06/2017,12445
07/06/2017,12420
08/06/2017,12810
09/06/2017,12905
12/06/2017,12770
13/06/2017,12580
14/06/2017,12510
15/06/2017,12480
16/06/2017,12460
19/06/2017,12530
20/06/2017,12370
21/06/2017,12580
22/06/2017,12710
23/06/2017,12785
26/06/2017,12680
27/06/2017,12710
28/06/2017,12675
29/06/2017,12560
30/06/2017,12540
03/07/2017,12480
04/07/2017,12350
05/07/2017,12230
06/07/2017,12090
07/07/2017,12200
10/07/2017,12125
11/07/2017,12420
12/07/2017,12580
13/07/2017,12420
14/07/2017,12385
17/07/2017,12395
18/07/2017,12365
19/07/2017,12365
20/07/2017,12425
21/07/2017,12505
24/07/2017,12465
25/07/2017,12475
26/07/2017,12110
27/07/2017,12120
28/07/2017,12230
31/07/2017,12355
01/08/2017,12540
02/08/2017,12505
03/08/2017,12515
04/08/2017,12525
07/08/2017,12445
08/08/2017,12410
09/08/2017,12760
10/08/2017,12900
11/08/2017,12955
14/08/2017,12835
15/08/2017,13030
16/08/2017,13165
17/08/2017,12925
18/08/2017,12840
21/08/2017,12640
22/08/2017,12515
23/08/2017,12455
24/08/2017,12570
25/08/2017,12870
29/08/2017,12580
30/08/2017,12505
31/08/2017,12560
01/09/2017,12570
04/09/2017,12790
05/09/2017,12755
06/09/2017,12820
07/09/2017,12865
08/09/2017,12825
11/09/2017,12630
12/09/2017,12500
13/09/2017,12510
14/09/2017,12460
15/09/2017,12415
18/09/2017,12375
19/09/2017,12610
20/09/2017,12690
21/09/2017,12430
22/09/2017,12350
25/09/2017,11860
26/09/2017,11830
27/09/2017,11910
28/09/2017,11830
29/09/2017,11750
02/10/2017,11745
03/10/2017,11910
04/10/2017,12060
05/10/2017,12030
06/10/2017,12010
09/10/2017,11630
10/10/2017,11680
11/10/2017,11410
12/10/2017,11400
13/10/2017,11460
16/10/2017,11710
17/10/2017,11570
18/10/2017,11680
19/10/2017,11680
20/10/2017,11660
23/10/2017,11830
24/10/2017,12020
25/10/2017,12075
26/10/2017,12335
27/10/2017,12335
30/10/2017,12800
31/10/2017,12460
01/11/2017,12410
02/11/2017,12290
03/11/2017,12360
06/11/2017,12660
07/11/2017,12935
08/11/2017,12980
09/11/2017,12850
10/11/2017,12830
13/11/2017,12730
14/11/2017,12480
15/11/2017,12425
16/11/2017,12710
17/11/2017,12945
20/11/2017,13150
21/11/2017,12825
22/11/2017,13060
23/11/2017,13300
24/11/2017,13210
27/11/2017,13590
28/11/2017,13460
29/11/2017,13610
