FIXING_DATE,FIXING
24/12/2019,12625
27/12/2019,12631
30/12/2019,12644
31/12/2019,12638
02/01/2020,12394
03/01/2020,12338
06/01/2020,12191
07/01/2020,12222
08/01/2020,12591
09/01/2020,12594
10/01/2020,12650
13/01/2020,12522
14/01/2020,12647
15/01/2020,12613
16/01/2020,12588
17/01/2020,12597
20/01/2020,12538
21/01/2020,12516
22/01/2020,12616
23/01/2020,12844
24/01/2020,13044
27/01/2020,12694
28/01/2020,12663
29/01/2020,12614
30/01/2020,12575
31/01/2020,12844
03/02/2020,12763
04/02/2020,12891
05/02/2020,13181
06/02/2020,13353
07/02/2020,13381
10/02/2020,13381
11/02/2020,13763
12/02/2020,13950
13/02/2020,14053
14/02/2020,14094
17/02/2020,14138
18/02/2020,14263
19/02/2020,14341
20/02/2020,14334
21/02/2020,14516
24/02/2020,14444
25/02/2020,14431
26/02/2020,14434
27/02/2020,14463
28/02/2020,14475
02/03/2020,14494
03/03/2020,14759
04/03/2020,14944
05/03/2020,15075
06/03/2020,14988
09/03/2020,14481
10/03/2020,14581
11/03/2020,14397
12/03/2020,14081
13/03/2020,13994
16/03/2020,13075
17/03/2020,13228
18/03/2020,13094
19/03/2020,13372
20/03/2020,13591
23/03/2020,13459
24/03/2020,13200
25/03/2020,12997
26/03/2020,12981
27/03/2020,13044
30/03/2020,13488
31/03/2020,14163
01/04/2020,13644
02/04/2020,13934
03/04/2020,13931
06/04/2020,13866
07/04/2020,14006
08/04/2020,14269
09/04/2020,14463
14/04/2020,14456
15/04/2020,14481
16/04/2020,14456
17/04/2020,14397
20/04/2020,14269
21/04/2020,14025
22/04/2020,13975
23/04/2020,14056
24/04/2020,14063
27/04/2020,13947
28/04/2020,13800
29/04/2020,13794
30/04/2020,13750
01/05/2020,13653
04/05/2020,13506
05/05/2020,13338
06/05/2020,13106
07/05/2020,13131
11/05/2020,12994
12/05/2020,12922
13/05/2020,12931
14/05/2020,13031
15/05/2020,13188
18/05/2020,13588
19/05/2020,13563
20/05/2020,13806
