FIXING_DATE,FIXING
30/06/2020,8888
01/07/2020,8834
02/07/2020,9069
03/07/2020,9175
06/07/2020,9200
07/07/2020,8941
08/07/2020,8866
09/07/2020,8831
10/07/2020,8844
13/07/2020,8772
14/07/2020,8722
15/07/2020,8734
16/07/2020,8794
17/07/2020,8756
20/07/2020,8597
21/07/2020,8534
22/07/2020,8591
23/07/2020,8597
24/07/2020,8609
27/07/2020,8634
28/07/2020,8728
29/07/2020,8869
30/07/2020,8769
31/07/2020,8763
03/08/2020,8894
04/08/2020,8888
05/08/2020,8825
06/08/2020,8844
07/08/2020,8794
10/08/2020,8825
11/08/2020,8831
12/08/2020,8828
13/08/2020,8859
14/08/2020,8816
17/08/2020,8822
18/08/2020,8822
19/08/2020,8781
20/08/2020,8750
21/08/2020,8756
24/08/2020,8813
25/08/2020,8816
26/08/2020,8822
27/08/2020,8809
28/08/2020,8803
01/09/2020,8756
02/09/2020,8741
03/09/2020,8703
04/09/2020,8713
07/09/2020,8703
08/09/2020,8681
09/09/2020,8638
10/09/2020,8656
11/09/2020,8688
14/09/2020,8731
15/09/2020,8722
16/09/2020,8709
17/09/2020,8741
18/09/2020,8759
21/09/2020,8784
22/09/2020,8825
23/09/2020,8891
24/09/2020,8934
25/09/2020,8925
28/09/2020,8884
29/09/2020,8903
30/09/2020,8884
01/10/2020,8894
02/10/2020,8938
05/10/2020,8938
06/10/2020,8922
07/10/2020,8850
08/10/2020,8866
09/10/2020,8866
12/10/2020,8853
13/10/2020,8878
14/10/2020,8750
15/10/2020,8697
16/10/2020,8669
19/10/2020,8675
20/10/2020,8709
21/10/2020,8756
22/10/2020,8763
23/10/2020,8725
26/10/2020,8725
27/10/2020,8719
28/10/2020,8681
29/10/2020,8606
30/10/2020,8631
02/11/2020,8569
03/11/2020,8550
04/11/2020,8550
05/11/2020,8569
06/11/2020,8581
09/11/2020,8600
10/11/2020,8594
11/11/2020,8528
12/11/2020,8628
13/11/2020,8663
16/11/2020,8581
17/11/2020,8578
18/11/2020,8556
19/11/2020,8609
20/11/2020,8569
23/11/2020,8600
24/11/2020,8600
25/11/2020,8669
26/11/2020,8622
27/11/2020,8609
30/11/2020,8516
01/12/2020,8516
02/12/2020,8447
03/12/2020,8481
04/12/2020,8581
07/12/2020,8594
08/12/2020,8581
09/12/2020,8616
10/12/2020,8700
11/12/2020,8778
14/12/2020,8803
15/12/2020,8766
16/12/2020,8831
17/12/2020,8934
18/12/2020,8934
21/12/2020,8725
22/12/2020,8856
23/12/2020,8919
24/12/2020,8922
29/12/2020,8838
30/12/2020,8941
31/12/2020,8959
04/01/2021,9238
05/01/2021,9625
06/01/2021,9619
07/01/2021,9869
08/01/2021,10059
11/01/2021,10531
12/01/2021,10119
13/01/2021,9919
14/01/2021,10263
15/01/2021,10309
18/01/2021,10300
19/01/2021,10225
20/01/2021,10244
21/01/2021,10088
22/01/2021,10056
25/01/2021,10028
26/01/2021,9925
27/01/2021,10069
28/01/2021,10122
29/01/2021,10225
01/02/2021,10231
02/02/2021,10025
03/02/2021,10200
04/02/2021,10288
05/02/2021,10388
08/02/2021,10169
09/02/2021,10256
10/02/2021,10425
11/02/2021,10609
12/02/2021,10981
15/02/2021,11131
16/02/2021,11641
17/02/2021,11234
18/02/2021,10909
19/02/2021,10956
