FIXING_DATE,FIXING
06/05/2014,15580
07/05/2014,15378
08/05/2014,15238
09/05/2014,14818
12/05/2014,14798
13/05/2014,14988
14/05/2014,15623
15/05/2014,15350
16/05/2014,15260
19/05/2014,15220
20/05/2014,14533
21/05/2014,14473
22/05/2014,14363
23/05/2014,14905
27/05/2014,15055
28/05/2014,14210
29/05/2014,14160
30/05/2014,14190
02/06/2014,14675
03/06/2014,15175
04/06/2014,15278
05/06/2014,15135
06/06/2014,15164
09/06/2014,15318
10/06/2014,15308
11/06/2014,14830
12/06/2014,14413
13/06/2014,13854
16/06/2014,13913
17/06/2014,14743
18/06/2014,14953
19/06/2014,14921
20/06/2014,14830
23/06/2014,14638
24/06/2014,14213
25/06/2014,13953
26/06/2014,14153
27/06/2014,15000
30/06/2014,15663
01/07/2014,15235
02/07/2014,15113
03/07/2014,15104
04/07/2014,15104
07/07/2014,15164
08/07/2014,14613
09/07/2014,13975
10/07/2014,13620
11/07/2014,13820
14/07/2014,13840
15/07/2014,13488
16/07/2014,12788
17/07/2014,13438
18/07/2014,13893
21/07/2014,13609
22/07/2014,13761
23/07/2014,14084
24/07/2014,14215
25/07/2014,14660
28/07/2014,14962
29/07/2014,15275
30/07/2014,15139
31/07/2014,15087
01/08/2014,14718
04/08/2014,14658
05/08/2014,14709
06/08/2014,14538
07/08/2014,14493
08/08/2014,14668
11/08/2014,15062
12/08/2014,15422
13/08/2014,15488
14/08/2014,16028
15/08/2014,16719
18/08/2014,15880
19/08/2014,15505
20/08/2014,16405
21/08/2014,15940
22/08/2014,15990
26/08/2014,15458
27/08/2014,15970
28/08/2014,15850
29/08/2014,15304
01/09/2014,15133
02/09/2014,15023
03/09/2014,14608
04/09/2014,14789
05/09/2014,14966
08/09/2014,14708
09/09/2014,14870
10/09/2014,14505
11/09/2014,14274
12/09/2014,14183
15/09/2014,13910
16/09/2014,13680
17/09/2014,13860
18/09/2014,13468
19/09/2014,13548
22/09/2014,13619
23/09/2014,13110
24/09/2014,12538
25/09/2014,12710
26/09/2014,12880
29/09/2014,12965
30/09/2014,12520
01/10/2014,12539
02/10/2014,12275
03/10/2014,12265
06/10/2014,12255
07/10/2014,11760
08/10/2014,11314
09/10/2014,11560
10/10/2014,11713
13/10/2014,11573
14/10/2014,11076
15/10/2014,11308
16/10/2014,11469
17/10/2014,12068
20/10/2014,13355
21/10/2014,13840
22/10/2014,13375
23/10/2014,12948
24/10/2014,14022
27/10/2014,14545
28/10/2014,14673
29/10/2014,13419
30/10/2014,12908
31/10/2014,13916
03/11/2014,14217
04/11/2014,13780
05/11/2014,13331
06/11/2014,13676
07/11/2014,13005
10/11/2014,12599
11/11/2014,12240
12/11/2014,12117
13/11/2014,11821
14/11/2014,12088
17/11/2014,12867
18/11/2014,12646
19/11/2014,12595
20/11/2014,12374
21/11/2014,12344
24/11/2014,12402
25/11/2014,12293
26/11/2014,11927
27/11/2014,11768
28/11/2014,11681
01/12/2014,11378
02/12/2014,10759
03/12/2014,10444
04/12/2014,10215
05/12/2014,10205
08/12/2014,10095
09/12/2014,9692
10/12/2014,9391
11/12/2014,9275
12/12/2014,9003
15/12/2014,8706
16/12/2014,8996
17/12/2014,8716
18/12/2014,8782
19/12/2014,8857
22/12/2014,8922
23/12/2014,8962
24/12/2014,9014
29/12/2014,8998
30/12/2014,8998
31/12/2014,8998
02/01/2015,8944
05/01/2015,7876
06/01/2015,7456
07/01/2015,7107
08/01/2015,6527
09/01/2015,7384
12/01/2015,8166
13/01/2015,9177
14/01/2015,7666
15/01/2015,8412
16/01/2015,8745
19/01/2015,8610
20/01/2015,9389
21/01/2015,9152
22/01/2015,8201
23/01/2015,7893
26/01/2015,7499
27/01/2015,7355
28/01/2015,7426
29/01/2015,7352
