FIXING_DATE,FIXING
06/05/2014,32320
07/05/2014,31970
08/05/2014,32130
09/05/2014,32090
12/05/2014,31930
13/05/2014,31890
14/05/2014,32393
15/05/2014,31860
16/05/2014,31748
19/05/2014,31708
20/05/2014,30955
21/05/2014,30755
22/05/2014,30303
23/05/2014,30585
27/05/2014,30705
28/05/2014,29805
29/05/2014,29673
30/05/2014,29663
02/06/2014,30023
03/06/2014,30483
04/06/2014,30588
05/06/2014,30370
06/06/2014,30473
09/06/2014,30615
10/06/2014,30453
11/06/2014,29825
12/06/2014,29463
13/06/2014,28808
16/06/2014,28705
17/06/2014,28928
18/06/2014,28915
19/06/2014,28785
20/06/2014,28573
23/06/2014,28350
24/06/2014,28008
25/06/2014,27678
26/06/2014,27765
27/06/2014,28460
30/06/2014,28915
01/07/2014,28225
02/07/2014,28190
03/07/2014,28008
04/07/2014,27968
07/07/2014,28020
08/07/2014,27695
09/07/2014,27060
10/07/2014,26625
11/07/2014,26818
14/07/2014,26898
15/07/2014,26485
16/07/2014,25430
17/07/2014,25680
18/07/2014,25888
21/07/2014,25443
22/07/2014,25263
23/07/2014,25360
24/07/2014,25350
25/07/2014,25493
28/07/2014,25645
29/07/2014,25733
30/07/2014,25400
31/07/2014,25320
01/08/2014,25180
04/08/2014,25160
05/08/2014,25180
06/08/2014,25098
07/08/2014,25053
08/08/2014,25178
11/08/2014,25433
12/08/2014,25893
13/08/2014,26190
14/08/2014,27003
15/08/2014,28035
18/08/2014,27495
19/08/2014,27153
20/08/2014,27720
21/08/2014,27345
22/08/2014,27335
26/08/2014,27008
27/08/2014,27390
28/08/2014,27615
29/08/2014,27183
01/09/2014,26940
02/09/2014,26870
03/09/2014,26628
04/09/2014,26780
05/09/2014,27185
08/09/2014,27064
09/09/2014,27022
10/09/2014,26679
11/09/2014,26518
12/09/2014,26095
15/09/2014,25645
16/09/2014,25305
17/09/2014,25275
18/09/2014,24750
19/09/2014,24883
22/09/2014,24860
23/09/2014,24354
24/09/2014,23462
25/09/2014,22558
26/09/2014,22398
29/09/2014,22298
30/09/2014,21280
01/10/2014,21088
02/10/2014,20695
03/10/2014,20523
06/10/2014,20493
07/10/2014,19868
08/10/2014,19219
09/10/2014,19310
10/10/2014,19393
13/10/2014,19079
14/10/2014,18333
15/10/2014,18423
16/10/2014,18482
17/10/2014,19030
20/10/2014,20088
21/10/2014,20475
22/10/2014,20020
23/10/2014,19805
24/10/2014,20520
27/10/2014,21240
28/10/2014,21350
29/10/2014,20375
30/10/2014,19855
31/10/2014,20816
03/11/2014,21208
04/11/2014,20500
05/11/2014,20228
06/11/2014,20302
07/11/2014,19898
10/11/2014,19420
11/11/2014,18980
12/11/2014,18950
13/11/2014,18608
14/11/2014,18700
17/11/2014,18948
18/11/2014,18777
19/11/2014,18688
20/11/2014,18535
21/11/2014,18625
24/11/2014,18728
25/11/2014,18565
26/11/2014,18425
27/11/2014,18223
28/11/2014,18173
01/12/2014,18030
02/12/2014,17586
03/12/2014,17717
04/12/2014,17565
05/12/2014,17663
08/12/2014,17638
09/12/2014,17445
10/12/2014,17345
11/12/2014,17385
12/12/2014,17375
15/12/2014,17275
16/12/2014,17203
17/12/2014,16989
18/12/2014,17051
19/12/2014,17114
22/12/2014,17091
23/12/2014,17141
24/12/2014,17141
29/12/2014,17141
30/12/2014,17141
31/12/2014,17141
02/01/2015,17141
05/01/2015,16933
06/01/2015,16709
07/01/2015,16607
08/01/2015,15887
09/01/2015,16128
12/01/2015,16423
13/01/2015,16695
14/01/2015,15734
15/01/2015,16124
16/01/2015,16253
19/01/2015,16143
20/01/2015,16234
21/01/2015,16037
22/01/2015,15794
23/01/2015,15673
26/01/2015,15374
27/01/2015,15244
28/01/2015,15264
29/01/2015,15304
30/01/2015,15213
02/02/2015,15133
03/02/2015,15344
04/02/2015,15364
05/02/2015,15621
06/02/2015,15413
09/02/2015,15334
10/02/2015,15365
11/02/2015,15010
12/02/2015,14728
13/02/2015,15000
16/02/2015,14773
17/02/2015,14702
18/02/2015,14728
19/02/2015,14749
20/02/2015,14854
23/02/2015,14698
24/02/2015,14405
25/02/2015,14405
26/02/2015,14335
27/02/2015,14415
02/03/2015,14345
03/03/2015,14061
04/03/2015,13930
05/03/2015,13436
06/03/2015,13486
