FIXING_DATE;FIXING
06/02/2024;24196
05/02/2024;23278
02/02/2024;21526
01/02/2024;21329
31/01/2024;21605
30/01/2024;20510
29/01/2024;19330
26/01/2024;19739
25/01/2024;19569
24/01/2024;19962
23/01/2024;18676
22/01/2024;17964
19/01/2024;18694
18/01/2024;19290
17/01/2024;17548
16/01/2024;17429
15/01/2024;16598
12/01/2024;17182
11/01/2024;17362
10/01/2024;17798
09/01/2024;17493
08/01/2024;18148
05/01/2024;19224
04/01/2024;19694
03/01/2024;18755
02/01/2024;18721
29/12/2023;19631
28/12/2023;19312
27/12/2023;18598
22/12/2023;18233
