FIXING_DATE,FIXING
30/09/2014,13960
01/10/2014,14147
02/10/2014,13955
03/10/2014,13737
06/10/2014,13697
07/10/2014,13460
08/10/2014,13250
09/10/2014,13365
10/10/2014,13455
13/10/2014,13449
14/10/2014,13299
15/10/2014,13582
16/10/2014,13782
17/10/2014,14400
20/10/2014,15578
21/10/2014,16265
22/10/2014,15849
23/10/2014,15635
24/10/2014,16504
27/10/2014,16815
28/10/2014,16864
29/10/2014,16025
30/10/2014,15580
31/10/2014,16158
03/11/2014,16118
04/11/2014,15520
05/11/2014,15148
06/11/2014,15550
07/11/2014,14905
10/11/2014,14331
11/11/2014,14141
12/11/2014,14251
13/11/2014,14020
14/11/2014,14092
17/11/2014,14444
18/11/2014,14363
19/11/2014,14243
20/11/2014,14072
21/11/2014,14142
24/11/2014,14192
25/11/2014,14040
26/11/2014,13930
27/11/2014,13839
28/11/2014,13819
01/12/2014,13658
02/12/2014,13254
03/12/2014,13214
04/12/2014,13123
05/12/2014,13153
08/12/2014,13213
09/12/2014,13151
10/12/2014,13171
11/12/2014,13172
12/12/2014,13091
15/12/2014,12998
16/12/2014,12947
17/12/2014,12835
18/12/2014,12916
19/12/2014,12970
22/12/2014,12946
23/12/2014,12986
24/12/2014,13007
29/12/2014,13007
30/12/2014,13007
31/12/2014,13007
02/01/2015,13007
05/01/2015,12737
06/01/2015,12443
07/01/2015,12313
08/01/2015,11778
09/01/2015,12125
12/01/2015,12350
13/01/2015,12715
14/01/2015,12370
15/01/2015,12582
16/01/2015,12682
19/01/2015,12633
20/01/2015,12733
21/01/2015,12573
22/01/2015,12260
23/01/2015,12168
26/01/2015,11987
27/01/2015,11931
28/01/2015,11971
29/01/2015,11970
30/01/2015,11775
02/02/2015,11745
03/02/2015,11890
04/02/2015,11809
05/02/2015,11910
06/02/2015,11778
09/02/2015,11666
10/02/2015,11747
11/02/2015,11403
12/02/2015,11241
13/02/2015,11474
16/02/2015,11303
17/02/2015,11309
18/02/2015,11350
19/02/2015,11348
20/02/2015,11449
23/02/2015,11365
24/02/2015,11232
25/02/2015,11263
26/02/2015,11298
27/02/2015,11288
02/03/2015,11233
03/03/2015,11178
04/03/2015,11162
05/03/2015,10921
06/03/2015,10981
09/03/2015,10800
10/03/2015,10609
11/03/2015,10455
12/03/2015,10495
13/03/2015,10425
16/03/2015,10545
17/03/2015,10619
18/03/2015,10548
19/03/2015,10862
20/03/2015,11012
23/03/2015,10780
24/03/2015,10740
25/03/2015,10578
26/03/2015,10710
27/03/2015,10800
30/03/2015,10487
31/03/2015,10090
01/04/2015,9678
02/04/2015,9558
07/04/2015,9033
08/04/2015,9113
09/04/2015,9173
10/04/2015,8890
13/04/2015,8470
14/04/2015,8532
15/04/2015,8579
16/04/2015,8740
17/04/2015,8740
20/04/2015,8640
21/04/2015,8418
22/04/2015,8377
23/04/2015,8033
24/04/2015,7861
27/04/2015,7730
28/04/2015,7932
29/04/2015,7780
30/04/2015,7842
01/05/2015,7922
05/05/2015,8153
06/05/2015,8588
07/05/2015,8873
08/05/2015,9399
11/05/2015,9673
12/05/2015,10175
13/05/2015,10025
14/05/2015,9725
15/05/2015,9675
18/05/2015,9435
19/05/2015,9175
20/05/2015,9113
21/05/2015,9022
22/05/2015,9142
26/05/2015,9425
