FIXING_DATE,FIXING
31/03/2021,19844
01/04/2021,20038
06/04/2021,20272
07/04/2021,20309
08/04/2021,20214
09/04/2021,20446
12/04/2021,20686
13/04/2021,20700
14/04/2021,20986
15/04/2021,21150
16/04/2021,21261
19/04/2021,21286
20/04/2021,21364
21/04/2021,21546
22/04/2021,21325
23/04/2021,21382
26/04/2021,21543
27/04/2021,21900
28/04/2021,22036
29/04/2021,22386
30/04/2021,23050
04/05/2021,23671
05/05/2021,23882
06/05/2021,22893
07/05/2021,23507
10/05/2021,24286
11/05/2021,23850
12/05/2021,23361
13/05/2021,23229
14/05/2021,22929
17/05/2021,22736
18/05/2021,23300
19/05/2021,23564
20/05/2021,23607
21/05/2021,23964
24/05/2021,23468
25/05/2021,23336
26/05/2021,23257
27/05/2021,23171
28/05/2021,23221
01/06/2021,23736
02/06/2021,23471
03/06/2021,23521
04/06/2021,24036
07/06/2021,23911
08/06/2021,24307
09/06/2021,25129
10/06/2021,25964
11/06/2021,26379
14/06/2021,26332
15/06/2021,26657
16/06/2021,27164
17/06/2021,26893
18/06/2021,26607
21/06/2021,26514
22/06/2021,26932
23/06/2021,27243
24/06/2021,27468
25/06/2021,27761
28/06/2021,27643
29/06/2021,27714
30/06/2021,27743
01/07/2021,27271
02/07/2021,27200
05/07/2021,26493
06/07/2021,26525
07/07/2021,26864
08/07/2021,26811
09/07/2021,26943
12/07/2021,26679
13/07/2021,26121
14/07/2021,25400
15/07/2021,26157
16/07/2021,25925
19/07/2021,25921
20/07/2021,25893
21/07/2021,26236
22/07/2021,26379
23/07/2021,26586
26/07/2021,26393
27/07/2021,26029
28/07/2021,26314
29/07/2021,26579
30/07/2021,26536
02/08/2021,26607
03/08/2021,26536
04/08/2021,26625
05/08/2021,26146
06/08/2021,26046
09/08/2021,25993
10/08/2021,26014
11/08/2021,26179
12/08/2021,26446
13/08/2021,26546
16/08/2021,26829
17/08/2021,27307
18/08/2021,27586
19/08/2021,27379
20/08/2021,27557
23/08/2021,27600
24/08/2021,27586
25/08/2021,27350
26/08/2021,27621
27/08/2021,27493
31/08/2021,26804
01/09/2021,26493
02/09/2021,26775
03/09/2021,26554
06/09/2021,26214
07/09/2021,26250
08/09/2021,26443
09/09/2021,27018
10/09/2021,27386
13/09/2021,27836
14/09/2021,27382
15/09/2021,27321
16/09/2021,27736
17/09/2021,27807
20/09/2021,27146
21/09/2021,27157
22/09/2021,26668
23/09/2021,26943
24/09/2021,27229
27/09/2021,27975
28/09/2021,28264
29/09/2021,27921
30/09/2021,27279
01/10/2021,27671
04/10/2021,27957
05/10/2021,28482
06/10/2021,28529
07/10/2021,27500
08/10/2021,27607
11/10/2021,28229
12/10/2021,27532
13/10/2021,27716
14/10/2021,28161
15/10/2021,27736
18/10/2021,28000
19/10/2021,28418
20/10/2021,28214
21/10/2021,26736
22/10/2021,25968
25/10/2021,25393
26/10/2021,24357
27/10/2021,24593
28/10/2021,24893
29/10/2021,25054
01/11/2021,24357
02/11/2021,23143
03/11/2021,22750
04/11/2021,23436
05/11/2021,23629
08/11/2021,24464
09/11/2021,24057
10/11/2021,23814
11/11/2021,23193
12/11/2021,22914
15/11/2021,22314
16/11/2021,21286
17/11/2021,21061
18/11/2021,21964
19/11/2021,23668
22/11/2021,23500
23/11/2021,22554
24/11/2021,22800
25/11/2021,22804
26/11/2021,22657
29/11/2021,22889
30/11/2021,22950
01/12/2021,23525
02/12/2021,23850
03/12/2021,24236
06/12/2021,24411
07/12/2021,24771
08/12/2021,24100
09/12/2021,23189
10/12/2021,23833
13/12/2021,23896
14/12/2021,23000
15/12/2021,23175
16/12/2021,23468
17/12/2021,23500
20/12/2021,24368
21/12/2021,24643
22/12/2021,25807
23/12/2021,26089
24/12/2021,26075
29/12/2021,26536
30/12/2021,26964
31/12/2021,27107
04/01/2022,26696
05/01/2022,26982
06/01/2022,27204
07/01/2022,27389
10/01/2022,26143
11/01/2022,26407
12/01/2022,26107
13/01/2022,26068
14/01/2022,26486
17/01/2022,26571
18/01/2022,25843
19/01/2022,25714
20/01/2022,26189
21/01/2022,25946
24/01/2022,26682
25/01/2022,26075
26/01/2022,26386
27/01/2022,26911
28/01/2022,27586
31/01/2022,27489
01/02/2022,27157
02/02/2022,27807
03/02/2022,27543
04/02/2022,27350
07/02/2022,27643
08/02/2022,28014
09/02/2022,29136
10/02/2022,29321
11/02/2022,29536
14/02/2022,28711
15/02/2022,27971
16/02/2022,28114
17/02/2022,29814
18/02/2022,29893
21/02/2022,30264
22/02/2022,29907
23/02/2022,30300
24/02/2022,28393
25/02/2022,28968
28/02/2022,28536
01/03/2022,30200
02/03/2022,29946
03/03/2022,30214
04/03/2022,31093
07/03/2022,31621
08/03/2022,31939
09/03/2022,33075
10/03/2022,32539
11/03/2022,32371
14/03/2022,31000
15/03/2022,30196
16/03/2022,31214
17/03/2022,32186
18/03/2022,32286
21/03/2022,32193
22/03/2022,31107
23/03/2022,31500
24/03/2022,31361
25/03/2022,31232
28/03/2022,30393
29/03/2022,31286
30/03/2022,31929
31/03/2022,31643
01/04/2022,31804
04/04/2022,30607
05/04/2022,30207
06/04/2022,30014
07/04/2022,30321
08/04/2022,30964
11/04/2022,29536
12/04/2022,30243
13/04/2022,30536
14/04/2022,31321
19/04/2022,30793
20/04/2022,31021
21/04/2022,32200
22/04/2022,32443
25/04/2022,31250
26/04/2022,30693
27/04/2022,31125
28/04/2022,30925
29/04/2022,31343
03/05/2022,32093
04/05/2022,33057
05/05/2022,33143
06/05/2022,32843
09/05/2022,32911
10/05/2022,32293
11/05/2022,32511
12/05/2022,31168
13/05/2022,30639
16/05/2022,30921
17/05/2022,32218
18/05/2022,32657
19/05/2022,31564
20/05/2022,31686
23/05/2022,31132
24/05/2022,31254
25/05/2022,31393
26/05/2022,31157
27/05/2022,30636
30/05/2022,31036
31/05/2022,32754
01/06/2022,32286
06/06/2022,32271
07/06/2022,31700
08/06/2022,30889
09/06/2022,30764
10/06/2022,31554
13/06/2022,31321
14/06/2022,31700
15/06/2022,31207
16/06/2022,30782
17/06/2022,31007
20/06/2022,28814
21/06/2022,28143
22/06/2022,26393
23/06/2022,27918
24/06/2022,26836
27/06/2022,26257
28/06/2022,26889
29/06/2022,27379
30/06/2022,27964
01/07/2022,27696
04/07/2022,26886
05/07/2022,25911
06/07/2022,25757
07/07/2022,27179
08/07/2022,26729
11/07/2022,26282
12/07/2022,25254
13/07/2022,26486
14/07/2022,26979
15/07/2022,27500
18/07/2022,26793
19/07/2022,26168
20/07/2022,25557
21/07/2022,25679
22/07/2022,25736
25/07/2022,23804
26/07/2022,24307
27/07/2022,24004
28/07/2022,23382
29/07/2022,22749
01/08/2022,22933
02/08/2022,20998
03/08/2022,18160
04/08/2022,17873
05/08/2022,18167
08/08/2022,18879
09/08/2022,19514
10/08/2022,19874
11/08/2022,18562
12/08/2022,17688
15/08/2022,16489
16/08/2022,16741
17/08/2022,16862
18/08/2022,16305
19/08/2022,16143
22/08/2022,16189
23/08/2022,15640
24/08/2022,15407
25/08/2022,13908
26/08/2022,13985
30/08/2022,13381
31/08/2022,13955
01/09/2022,15138
02/09/2022,15681
05/09/2022,13952
06/09/2022,13150
07/09/2022,13707
08/09/2022,15121
09/09/2022,14905
12/09/2022,16727
13/09/2022,17161
14/09/2022,16357
15/09/2022,15683
16/09/2022,15878
20/09/2022,18545
21/09/2022,18038
22/09/2022,17731
23/09/2022,18620
26/09/2022,18459
27/09/2022,18404
28/09/2022,16443
29/09/2022,15149
30/09/2022,15000
03/10/2022,15449
04/10/2022,17906
05/10/2022,17362
06/10/2022,16224
07/10/2022,16274
10/10/2022,14816
11/10/2022,15684
12/10/2022,15209
13/10/2022,14509
14/10/2022,15914
17/10/2022,14607
18/10/2022,15407
19/10/2022,14838
20/10/2022,14617
21/10/2022,14602
24/10/2022,14276
25/10/2022,14173
26/10/2022,14011
27/10/2022,13533
28/10/2022,13518
31/10/2022,12802
01/11/2022,13176
02/11/2022,13115
03/11/2022,13091
04/11/2022,13356
07/11/2022,13193
08/11/2022,13539
09/11/2022,13952
10/11/2022,13506
11/11/2022,13499
14/11/2022,13249
15/11/2022,12727
16/11/2022,12708
17/11/2022,12299
18/11/2022,12169
21/11/2022,12528
22/11/2022,12368
23/11/2022,12734
24/11/2022,13314
25/11/2022,13626
28/11/2022,13500
29/11/2022,13316
30/11/2022,13657
01/12/2022,13451
02/12/2022,13383
05/12/2022,13460
06/12/2022,13685
07/12/2022,13796
08/12/2022,13940
09/12/2022,13996
12/12/2022,13808
13/12/2022,14016
14/12/2022,14410
15/12/2022,14606
16/12/2022,14547
19/12/2022,14566
20/12/2022,14924
21/12/2022,15088
22/12/2022,15087
