FIXING_DATE,FIXING
31/03/2020,15694
01/04/2020,15106
02/04/2020,15203
03/04/2020,15156
06/04/2020,15081
07/04/2020,15175
08/04/2020,15384
09/04/2020,15528
14/04/2020,15484
15/04/2020,15500
16/04/2020,15469
17/04/2020,15419
20/04/2020,15294
21/04/2020,15053
22/04/2020,15000
23/04/2020,15066
24/04/2020,15075
27/04/2020,14963
28/04/2020,14825
29/04/2020,14806
30/04/2020,14763
01/05/2020,14678
04/05/2020,14556
05/05/2020,14403
06/05/2020,14181
07/05/2020,14200
11/05/2020,14063
12/05/2020,13988
13/05/2020,14019
14/05/2020,14100
15/05/2020,14263
18/05/2020,14638
19/05/2020,14619
20/05/2020,14816
21/05/2020,14847
22/05/2020,14847
26/05/2020,14863
27/05/2020,14750
28/05/2020,14734
29/05/2020,14881
01/06/2020,15069
02/06/2020,15300
03/06/2020,15434
04/06/2020,15675
05/06/2020,15863
08/06/2020,15950
09/06/2020,16038
10/06/2020,16281
11/06/2020,16231
12/06/2020,16278
15/06/2020,16369
16/06/2020,16856
17/06/2020,16956
18/06/2020,16775
19/06/2020,16600
22/06/2020,16778
23/06/2020,16869
24/06/2020,16600
25/06/2020,16544
26/06/2020,16525
29/06/2020,16672
30/06/2020,16550
01/07/2020,16419
02/07/2020,16794
03/07/2020,17175
06/07/2020,17269
07/07/2020,16819
08/07/2020,16644
09/07/2020,16644
10/07/2020,16638
13/07/2020,16491
14/07/2020,16406
15/07/2020,16431
16/07/2020,16544
17/07/2020,16575
20/07/2020,16331
21/07/2020,16147
22/07/2020,16250
23/07/2020,16350
24/07/2020,16263
27/07/2020,16313
28/07/2020,16528
29/07/2020,16656
30/07/2020,16563
31/07/2020,16544
03/08/2020,16781
04/08/2020,16738
05/08/2020,16594
06/08/2020,16681
07/08/2020,16625
10/08/2020,16656
11/08/2020,16763
12/08/2020,16850
13/08/2020,16938
14/08/2020,16844
17/08/2020,16881
18/08/2020,16875
19/08/2020,16850
20/08/2020,16778
21/08/2020,16806
24/08/2020,17038
25/08/2020,17056
26/08/2020,17091
27/08/2020,17069
28/08/2020,17072
01/09/2020,16894
02/09/2020,16825
03/09/2020,16650
04/09/2020,16763
07/09/2020,16728
08/09/2020,16669
09/09/2020,16572
10/09/2020,16709
11/09/2020,16984
