FIXING_DATE,FIXING
24/12/2020,14288
29/12/2020,14444
30/12/2020,14613
31/12/2020,15172
04/01/2021,15613
05/01/2021,16788
06/01/2021,16888
07/01/2021,17100
08/01/2021,17269
11/01/2021,17453
12/01/2021,17144
13/01/2021,17031
14/01/2021,17388
15/01/2021,17481
18/01/2021,17469
19/01/2021,17503
20/01/2021,17531
21/01/2021,17425
22/01/2021,17397
25/01/2021,17347
26/01/2021,17259
27/01/2021,17303
28/01/2021,17306
29/01/2021,17369
01/02/2021,17406
02/02/2021,17306
03/02/2021,17428
04/02/2021,17550
05/02/2021,17650
08/02/2021,17475
09/02/2021,17675
10/02/2021,17888
11/02/2021,18056
12/02/2021,18394
15/02/2021,18453
16/02/2021,18906
17/02/2021,18750
18/02/2021,18631
19/02/2021,18644
22/02/2021,18456
23/02/2021,18494
24/02/2021,18509
25/02/2021,18906
26/02/2021,18856
01/03/2021,18888
02/03/2021,19191
03/03/2021,19184
04/03/2021,19141
05/03/2021,19275
08/03/2021,19497
09/03/2021,19522
10/03/2021,19400
11/03/2021,19544
12/03/2021,19588
15/03/2021,19969
16/03/2021,20006
17/03/2021,20294
18/03/2021,20444
19/03/2021,20300
22/03/2021,20288
23/03/2021,20013
24/03/2021,20169
25/03/2021,20438
26/03/2021,20397
29/03/2021,20234
30/03/2021,20244
31/03/2021,20303
01/04/2021,20638
06/04/2021,20925
07/04/2021,20978
08/04/2021,20929
09/04/2021,21196
12/04/2021,21514
13/04/2021,21550
14/04/2021,21911
15/04/2021,22096
16/04/2021,22246
19/04/2021,22286
20/04/2021,22379
21/04/2021,22546
22/04/2021,22318
23/04/2021,22389
26/04/2021,22543
27/04/2021,22900
28/04/2021,23036
29/04/2021,23371
30/04/2021,24100
04/05/2021,24700
05/05/2021,24907
06/05/2021,23679
07/05/2021,24429
10/05/2021,25286
11/05/2021,24793
12/05/2021,24254
13/05/2021,24121
14/05/2021,23821
17/05/2021,23621
18/05/2021,24250
19/05/2021,24629
20/05/2021,24982
21/05/2021,25271
24/05/2021,24718
25/05/2021,24571
26/05/2021,24507
27/05/2021,24343
28/05/2021,24493
01/06/2021,24950
02/06/2021,24564
03/06/2021,24579
04/06/2021,25221
07/06/2021,25093
08/06/2021,25457
09/06/2021,26379
10/06/2021,27243
11/06/2021,27664
14/06/2021,27657
15/06/2021,28129
16/06/2021,28693
17/06/2021,28350
18/06/2021,28000
21/06/2021,27943
22/06/2021,28275
23/06/2021,28571
24/06/2021,28757
25/06/2021,28921
28/06/2021,28850
29/06/2021,28914
30/06/2021,28950
01/07/2021,28357
02/07/2021,28321
05/07/2021,27607
06/07/2021,27657
07/07/2021,28036
08/07/2021,27932
09/07/2021,27993
12/07/2021,27621
13/07/2021,27100
14/07/2021,26379
15/07/2021,27257
16/07/2021,27139
19/07/2021,27129
20/07/2021,27014
21/07/2021,27393
22/07/2021,27529
23/07/2021,27721
26/07/2021,27436
27/07/2021,27029
28/07/2021,27279
29/07/2021,27650
30/07/2021,27543
02/08/2021,27604
03/08/2021,27529
04/08/2021,27639
05/08/2021,27146
06/08/2021,26989
09/08/2021,26936
10/08/2021,27014
11/08/2021,27186
12/08/2021,27589
13/08/2021,27604
16/08/2021,27979
17/08/2021,28332
18/08/2021,28550
19/08/2021,28339
20/08/2021,28571
23/08/2021,28607
24/08/2021,28607
25/08/2021,28350
26/08/2021,28686
27/08/2021,28507
31/08/2021,27739
01/09/2021,27393
02/09/2021,27811
03/09/2021,27589
06/09/2021,27232
07/09/2021,27286
08/09/2021,27529
09/09/2021,28146
10/09/2021,28786
13/09/2021,29157
14/09/2021,28679
15/09/2021,28550
16/09/2021,28893
17/09/2021,28929
20/09/2021,28211
21/09/2021,28139
22/09/2021,27857
23/09/2021,28050
24/09/2021,28307
27/09/2021,29279
28/09/2021,29643
29/09/2021,29143
30/09/2021,28657
01/10/2021,28836
04/10/2021,29046
05/10/2021,29682
06/10/2021,29886
07/10/2021,28618
08/10/2021,28714
11/10/2021,30014
12/10/2021,29054
13/10/2021,29268
14/10/2021,29821
15/10/2021,29518
18/10/2021,29829
19/10/2021,30250
20/10/2021,30054
21/10/2021,28479
22/10/2021,27568
25/10/2021,26982
26/10/2021,25750
27/10/2021,26200
28/10/2021,26571
29/10/2021,26750
01/11/2021,25979
02/11/2021,24393
03/11/2021,24143
04/11/2021,24936
05/11/2021,25186
08/11/2021,26214
09/11/2021,25807
10/11/2021,25550
11/11/2021,25071
12/11/2021,24714
15/11/2021,24093
16/11/2021,22918
17/11/2021,22725
18/11/2021,23893
19/11/2021,25689
22/11/2021,25464
23/11/2021,24604
24/11/2021,24896
25/11/2021,24911
26/11/2021,24786
29/11/2021,25039
30/11/2021,25107
01/12/2021,25696
02/12/2021,25964
03/12/2021,26464
06/12/2021,26707
07/12/2021,26907
08/12/2021,26229
09/12/2021,25254
10/12/2021,25958
13/12/2021,26064
14/12/2021,24921
15/12/2021,25218
16/12/2021,25607
17/12/2021,25579
20/12/2021,26461
21/12/2021,26643
22/12/2021,27811
23/12/2021,28046
24/12/2021,28032
29/12/2021,28407
30/12/2021,28964
31/12/2021,29071
04/01/2022,27943
05/01/2022,28111
06/01/2022,28254
07/01/2022,28446
10/01/2022,27321
11/01/2022,27500
12/01/2022,27036
13/01/2022,27075
14/01/2022,27664
17/01/2022,27736
18/01/2022,26779
19/01/2022,26593
20/01/2022,27243
21/01/2022,26971
24/01/2022,27875
25/01/2022,27368
26/01/2022,27721
27/01/2022,28536
28/01/2022,29500
31/01/2022,29450
01/02/2022,28932
02/02/2022,29743
03/02/2022,29514
04/02/2022,29443
07/02/2022,29657
08/02/2022,29979
09/02/2022,31129
10/02/2022,31482
11/02/2022,31614
14/02/2022,30604
15/02/2022,30114
16/02/2022,30114
17/02/2022,31654
18/02/2022,32107
21/02/2022,32764
22/02/2022,32543
23/02/2022,33171
24/02/2022,30621
25/02/2022,31182
28/02/2022,30564
01/03/2022,32857
02/03/2022,32554
03/03/2022,33214
04/03/2022,34104
07/03/2022,35143
08/03/2022,35864
09/03/2022,37104
10/03/2022,36539
11/03/2022,36300
14/03/2022,34693
15/03/2022,33846
16/03/2022,35254
17/03/2022,36454
18/03/2022,36618
21/03/2022,36586
22/03/2022,35071
23/03/2022,35714
24/03/2022,35454
25/03/2022,35318
28/03/2022,34429
29/03/2022,35321
30/03/2022,36268
31/03/2022,35964
01/04/2022,36093
04/04/2022,34982
05/04/2022,34636
06/04/2022,34121
07/04/2022,34643
08/04/2022,35639
11/04/2022,33789
12/04/2022,34496
13/04/2022,34854
14/04/2022,36000
19/04/2022,35336
20/04/2022,35089
21/04/2022,36357
22/04/2022,36821
25/04/2022,34821
26/04/2022,34521
27/04/2022,35139
28/04/2022,35025
29/04/2022,35645
03/05/2022,36786
04/05/2022,37908
05/05/2022,38429
06/05/2022,38259
09/05/2022,38552
10/05/2022,37800
11/05/2022,38345
12/05/2022,36619
13/05/2022,35614
16/05/2022,36126
17/05/2022,38448
18/05/2022,38851
19/05/2022,37531
20/05/2022,37888
23/05/2022,36671
24/05/2022,36436
25/05/2022,36029
26/05/2022,35214
27/05/2022,34141
30/05/2022,34083
31/05/2022,37200
01/06/2022,36576
06/06/2022,36282
07/06/2022,34881
08/06/2022,33560
09/06/2022,32940
10/06/2022,33970
13/06/2022,33221
14/06/2022,34044
15/06/2022,33323
16/06/2022,33393
17/06/2022,34180
20/06/2022,30988
21/06/2022,30110
22/06/2022,27837
23/06/2022,29448
24/06/2022,27925
27/06/2022,26946
28/06/2022,26841
29/06/2022,27646
30/06/2022,28460
01/07/2022,28324
04/07/2022,27254
05/07/2022,26215
06/07/2022,25733
07/07/2022,27786
08/07/2022,27362
11/07/2022,26826
12/07/2022,24526
13/07/2022,26183
14/07/2022,27097
15/07/2022,28200
18/07/2022,26996
19/07/2022,25532
20/07/2022,23748
21/07/2022,24091
22/07/2022,24071
25/07/2022,21598
26/07/2022,21877
27/07/2022,21312
28/07/2022,20469
29/07/2022,19777
01/08/2022,19967
02/08/2022,18371
03/08/2022,16643
04/08/2022,16895
05/08/2022,17298
08/08/2022,17403
09/08/2022,17955
10/08/2022,17839
11/08/2022,16711
12/08/2022,15878
15/08/2022,14660
16/08/2022,15089
17/08/2022,14716
18/08/2022,14062
19/08/2022,13880
22/08/2022,13935
23/08/2022,13591
24/08/2022,13551
25/08/2022,12962
26/08/2022,12963
30/08/2022,12743
31/08/2022,12954
01/09/2022,13307
02/09/2022,13332
05/09/2022,12749
06/09/2022,12377
07/09/2022,12345
08/09/2022,12382
09/09/2022,12327
12/09/2022,12929
13/09/2022,13224
14/09/2022,13492
15/09/2022,13406
16/09/2022,13312
20/09/2022,13992
21/09/2022,13920
22/09/2022,13766
23/09/2022,13837
26/09/2022,13854
27/09/2022,13842
28/09/2022,13797
29/09/2022,13759
