FIXING_DATE,FIXING
24/12/2014,13998
29/12/2014,14148
30/12/2014,14148
31/12/2014,14148
02/01/2015,14148
05/01/2015,13858
06/01/2015,13585
07/01/2015,13605
08/01/2015,13281
09/01/2015,13640
12/01/2015,13862
13/01/2015,14236
14/01/2015,13923
15/01/2015,14145
16/01/2015,14225
19/01/2015,14135
20/01/2015,14206
21/01/2015,14015
22/01/2015,13734
23/01/2015,13643
26/01/2015,13462
27/01/2015,13407
28/01/2015,13447
29/01/2015,13477
30/01/2015,13382
02/02/2015,13350
03/02/2015,13535
04/02/2015,13483
05/02/2015,13554
06/02/2015,13479
09/02/2015,13472
10/02/2015,13492
11/02/2015,13199
12/02/2015,13119
13/02/2015,13279
16/02/2015,13210
17/02/2015,13238
18/02/2015,13248
19/02/2015,13248
20/02/2015,13340
23/02/2015,13282
24/02/2015,13140
25/02/2015,13171
26/02/2015,13215
27/02/2015,13215
02/03/2015,13160
03/03/2015,13095
04/03/2015,13090
05/03/2015,12900
06/03/2015,12931
09/03/2015,12810
10/03/2015,12660
11/03/2015,12390
12/03/2015,12567
13/03/2015,12587
16/03/2015,12688
17/03/2015,12699
18/03/2015,12578
19/03/2015,12820
20/03/2015,12970
23/03/2015,12729
24/03/2015,12709
25/03/2015,12568
26/03/2015,12679
27/03/2015,12761
30/03/2015,12729
31/03/2015,12220
01/04/2015,11805
02/04/2015,11605
07/04/2015,11060
08/04/2015,11090
09/04/2015,11163
10/04/2015,10980
13/04/2015,10525
14/04/2015,10565
15/04/2015,10615
16/04/2015,10798
17/04/2015,10748
20/04/2015,10728
21/04/2015,10363
22/04/2015,10350
23/04/2015,10048
24/04/2015,9927
27/04/2015,9665
28/04/2015,9848
29/04/2015,9810
30/04/2015,9942
01/05/2015,10002
05/05/2015,10295
06/05/2015,10670
07/05/2015,10943
08/05/2015,11438
11/05/2015,11628
12/05/2015,12140
13/05/2015,12060
14/05/2015,11760
15/05/2015,11700
18/05/2015,11743
19/05/2015,11570
20/05/2015,11670
21/05/2015,11643
22/05/2015,11733
26/05/2015,11965
27/05/2015,12075
28/05/2015,12190
29/05/2015,12200
01/06/2015,12220
02/06/2015,12660
03/06/2015,12690
04/06/2015,12650
05/06/2015,12638
08/06/2015,12690
09/06/2015,12540
10/06/2015,12890
11/06/2015,13170
12/06/2015,13390
15/06/2015,13680
16/06/2015,13830
17/06/2015,14130
18/06/2015,13700
19/06/2015,13813
22/06/2015,13920
23/06/2015,14320
24/06/2015,14250
25/06/2015,14040
26/06/2015,13950
29/06/2015,13890
30/06/2015,13950
01/07/2015,14180
02/07/2015,14300
03/07/2015,14460
06/07/2015,14230
07/07/2015,14025
08/07/2015,13610
09/07/2015,13790
10/07/2015,14030
13/07/2015,14160
14/07/2015,14320
15/07/2015,14310
16/07/2015,14290
17/07/2015,14450
20/07/2015,14480
21/07/2015,14150
22/07/2015,13850
23/07/2015,13810
24/07/2015,13890
27/07/2015,14140
28/07/2015,14160
29/07/2015,14170
30/07/2015,14160
31/07/2015,14220
03/08/2015,14570
04/08/2015,14390
05/08/2015,14050
06/08/2015,14020
07/08/2015,14080
10/08/2015,14120
11/08/2015,13820
12/08/2015,13490
13/08/2015,13470
14/08/2015,13810
17/08/2015,13760
18/08/2015,13590
19/08/2015,13548
20/08/2015,13250
21/08/2015,13130
24/08/2015,12310
25/08/2015,12220
26/08/2015,12120
27/08/2015,12400
28/08/2015,12513
01/09/2015,12825
02/09/2015,12340
03/09/2015,12320
04/09/2015,12520
07/09/2015,12710
08/09/2015,12730
09/09/2015,12460
10/09/2015,12500
11/09/2015,12630
14/09/2015,12770
15/09/2015,12670
16/09/2015,13190
17/09/2015,13040
18/09/2015,13030
21/09/2015,12710
22/09/2015,12573
23/09/2015,12593
24/09/2015,12733
25/09/2015,12763
28/09/2015,12573
29/09/2015,12163
30/09/2015,11823
01/10/2015,12003
02/10/2015,12003
05/10/2015,11843
06/10/2015,11758
07/10/2015,11813
08/10/2015,11813
09/10/2015,11753
12/10/2015,11686
13/10/2015,11490
14/10/2015,11380
15/10/2015,11390
16/10/2015,11550
19/10/2015,11510
20/10/2015,11616
21/10/2015,11430
22/10/2015,11340
23/10/2015,11210
26/10/2015,11050
27/10/2015,11030
28/10/2015,10950
29/10/2015,10570
30/10/2015,10359
02/11/2015,9780
03/11/2015,9650
04/11/2015,9600
05/11/2015,9790
06/11/2015,9680
09/11/2015,9550
10/11/2015,9520
11/11/2015,8880
12/11/2015,8700
13/11/2015,8670
16/11/2015,8815
17/11/2015,8880
18/11/2015,8867
19/11/2015,8420
20/11/2015,8510
23/11/2015,9000
24/11/2015,8720
25/11/2015,8660
26/11/2015,8610
27/11/2015,8640
30/11/2015,8580
01/12/2015,8350
02/12/2015,8140
03/12/2015,8162
04/12/2015,8060
07/12/2015,8060
08/12/2015,8210
09/12/2015,7990
10/12/2015,7882
11/12/2015,7828
14/12/2015,7720
15/12/2015,7780
16/12/2015,7810
17/12/2015,7895
18/12/2015,7846
21/12/2015,7746
22/12/2015,7730
23/12/2015,7710
24/12/2015,7710
29/12/2015,7712
30/12/2015,7712
31/12/2015,7708
04/01/2016,7650
05/01/2016,7637
06/01/2016,7640
07/01/2016,7367
08/01/2016,7197
11/01/2016,7127
12/01/2016,6922
13/01/2016,6947
14/01/2016,6852
15/01/2016,6682
18/01/2016,6937
19/01/2016,6907
20/01/2016,6817
21/01/2016,6692
22/01/2016,6970
25/01/2016,7020
26/01/2016,6937
27/01/2016,6872
28/01/2016,6872
29/01/2016,6912
01/02/2016,7105
02/02/2016,7037
03/02/2016,7022
04/02/2016,7115
05/02/2016,7172
08/02/2016,7142
09/02/2016,7022
10/02/2016,6967
11/02/2016,6942
12/02/2016,6962
15/02/2016,6982
16/02/2016,7015
17/02/2016,6977
18/02/2016,6947
19/02/2016,6862
22/02/2016,6780
23/02/2016,6780
24/02/2016,6761
25/02/2016,6776
26/02/2016,6790
29/02/2016,6765
01/03/2016,6745
02/03/2016,6792
03/03/2016,6782
04/03/2016,6740
07/03/2016,7285
08/03/2016,7305
09/03/2016,7062
10/03/2016,7042
11/03/2016,6902
14/03/2016,6762
15/03/2016,6822
16/03/2016,6800
17/03/2016,6962
18/03/2016,6977
21/03/2016,6892
22/03/2016,6762
23/03/2016,6717
24/03/2016,6737
29/03/2016,6847
30/03/2016,7062
31/03/2016,7192
01/04/2016,7082
04/04/2016,7472
05/04/2016,7272
06/04/2016,7292
07/04/2016,7262
08/04/2016,7472
11/04/2016,7442
12/04/2016,7352
13/04/2016,7497
14/04/2016,8332
15/04/2016,9392
18/04/2016,8902
19/04/2016,8610
20/04/2016,8395
21/04/2016,9232
22/04/2016,9652
25/04/2016,10082
26/04/2016,9792
27/04/2016,8572
28/04/2016,8322
29/04/2016,8467
03/05/2016,7772
04/05/2016,7812
05/05/2016,7779
06/05/2016,7651
09/05/2016,7119
10/05/2016,6810
11/05/2016,7216
12/05/2016,8056
13/05/2016,8344
16/05/2016,8391
17/05/2016,8322
18/05/2016,7823
19/05/2016,7589
20/05/2016,7737
23/05/2016,7562
24/05/2016,7339
25/05/2016,7269
26/05/2016,7646
27/05/2016,7753
31/05/2016,8072
01/06/2016,8166
02/06/2016,8229
03/06/2016,8025
06/06/2016,8334
07/06/2016,8279
08/06/2016,8716
09/06/2016,8942
10/06/2016,9026
13/06/2016,8906
14/06/2016,8526
15/06/2016,8306
16/06/2016,8077
17/06/2016,7905
20/06/2016,8149
21/06/2016,8291
22/06/2016,8649
23/06/2016,8562
24/06/2016,8427
27/06/2016,8592
28/06/2016,8616
29/06/2016,8856
30/06/2016,9336
01/07/2016,9319
04/07/2016,9281
05/07/2016,8769
06/07/2016,8899
07/07/2016,8826
08/07/2016,8720
11/07/2016,8392
12/07/2016,8552
13/07/2016,8769
14/07/2016,8631
15/07/2016,8601
18/07/2016,8459
19/07/2016,8361
20/07/2016,7940
21/07/2016,7848
22/07/2016,7886
25/07/2016,7770
26/07/2016,7416
27/07/2016,7271
28/07/2016,7091
